,quarter_Quarter1,quarter_Quarter2,quarter_Quarter3,quarter_Quarter4,quarter_Quarter5,department_finishing,department_finishing ,department_sweing,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity,probable_productivity
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.8,26.16,1108.0,7080.0,98.0,0.0,0.0,0.0,59.0,0.940725424,1.17590678
1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.75,3.94,1039.0,960.0,0.0,0.0,0.0,0.0,8.0,0.8865,1.182
2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.8,11.41,968.0,3660.0,50.0,0.0,0.0,0.0,30.5,0.800570492,1.000713115
3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.8,11.41,968.0,3660.0,50.0,0.0,0.0,0.0,30.5,0.800570492,1.000713115
4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.8,25.9,1170.0,1920.0,50.0,0.0,0.0,0.0,56.0,0.800381944,1.00047743
5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.8,25.9,984.0,6720.0,38.0,0.0,0.0,0.0,56.0,0.800125,1.0001562499999999
6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.75,3.94,1039.0,960.0,0.0,0.0,0.0,0.0,8.0,0.755166667,1.0068888893333334
7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.75,28.08,795.0,6900.0,45.0,0.0,0.0,0.0,57.5,0.753683478,1.004911304
8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.75,19.87,733.0,6000.0,34.0,0.0,0.0,0.0,55.0,0.753097531,1.0041300413333334
9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.75,28.08,681.0,6900.0,45.0,0.0,0.0,0.0,57.5,0.750427826,1.0005704346666666
10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.7,28.08,872.0,6900.0,44.0,0.0,0.0,0.0,57.5,0.721126957,1.0301813671428572
11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.75,19.31,578.0,6480.0,45.0,0.0,0.0,0.0,54.0,0.712205247,0.949606996
12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.8,11.41,668.0,3660.0,50.0,0.0,0.0,0.0,30.5,0.707045902,0.8838073774999999
13,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.65,3.94,1039.0,960.0,0.0,0.0,0.0,0.0,8.0,0.705916667,1.0860256415384615
14,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.75,2.9,1039.0,960.0,0.0,0.0,0.0,0.0,8.0,0.676666667,0.9022222226666666
15,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.75,3.94,1039.0,2160.0,0.0,0.0,0.0,0.0,18.0,0.593055556,0.7907407413333334
16,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.8,2.9,1039.0,960.0,0.0,0.0,0.0,0.0,8.0,0.540729167,0.6759114587499999
17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.65,23.69,861.0,7200.0,0.0,0.0,0.0,0.0,60.0,0.52118,0.8018153846153846
18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.7,4.15,1039.0,1440.0,0.0,0.0,0.0,0.0,12.0,0.436326389,0.6233234128571429
19,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.8,4.15,1039.0,6600.0,0.0,0.0,0.0,0.0,20.0,0.988024691,1.23503086375
20,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.75,2.9,1039.0,5640.0,0.0,0.0,0.0,0.0,17.0,0.987880435,1.3171739133333333
21,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.8,4.15,1039.0,960.0,0.0,0.0,0.0,0.0,8.0,0.956270833,1.19533854125
22,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.75,3.94,1039.0,1560.0,0.0,0.0,0.0,0.0,8.0,0.945277778,1.2603703706666667
23,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8,3.94,1039.0,960.0,0.0,0.0,0.0,0.0,8.0,0.902916667,1.1286458337499998
24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8,28.08,772.0,6300.0,50.0,0.0,0.0,0.0,56.5,0.800725314,1.0009066425
25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.8,28.08,913.0,6540.0,50.0,0.0,0.0,0.0,54.5,0.800322936,1.00040367
26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.8,26.16,1261.0,7080.0,50.0,0.0,0.0,0.0,59.0,0.800318644,1.0003983049999998
27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.8,26.16,844.0,7080.0,63.0,0.0,0.0,0.0,59.0,0.800318644,1.0003983049999998
28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.8,11.61,1005.0,7080.0,50.0,0.0,0.0,0.0,29.5,0.800237288,1.00029661
29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.8,11.61,659.0,7080.0,50.0,0.0,0.0,0.0,31.5,0.800148649,1.00018581125
30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.8,25.9,1152.0,6720.0,50.0,0.0,0.0,0.0,56.0,0.800125,1.0001562499999999
31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.8,25.9,1138.0,6720.0,38.0,0.0,0.0,0.0,56.0,0.800125,1.0001562499999999
32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.75,19.31,610.0,6480.0,56.0,0.0,0.0,0.0,54.0,0.787299691,1.0497329213333333
33,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.8,4.15,1039.0,960.0,0.0,0.0,0.0,0.0,8.0,0.782447917,0.97805989625
